Shot,Mat,cGANsim,cGAN_largesim,LF_LRsim
34,5,0.149737308,0.189024903,0.148318866
34,6,0.112154083,0.196985352,0.224560786
34,7,0.135754085,0.131395485,0.12759058
34,8,0.15012121,0.107479559,0.159600309
35,1,0.131610653,0.085214216,0.127466897
35,2,0.109827963,0.110538414,0.113485279
35,3,0.124389662,0.131076929,0.152822901
35,4,0.142561093,0.098858137,0.134043126
35,5,0.154161507,0.161839349,0.211909934
35,6,0.127890354,0.135167126,0.190165124
35,7,0.24091154,0.190863305,0.165617413
35,8,0.175121184,0.193833835,0.205725482
36,1,0.175744888,0.173253008,0.20799276
36,2,0.186431204,0.097145522,0.150197741
36,3,0.191829809,0.234738496,0.202243921
36,4,0.213235035,0.162507078,0.266379219
36,5,0.117981638,0.194381769,0.146322738
36,6,0.104767435,0.180211365,0.16869846
36,7,0.125845025,0.106086176,0.098793039
36,8,0.15988876,0.13506417,0.164500422
37,1,0.160379085,0.16763085,0.178485169
37,2,0.186341872,0.084099194,0.146212856
37,3,0.180896836,0.226599436,0.241271258
37,4,0.219704808,0.215459167,0.23762308
37,5,0.114757679,0.184816863,0.127662918
37,6,0.108801632,0.179575283,0.184277973
37,7,0.155742172,0.129455557,0.152174117
37,8,0.160498058,0.129972447,0.206083329
38,1,0.183525864,0.202408571,0.188435593
38,2,0.198490449,0.119986127,0.184402016
38,3,0.173428773,0.266714794,0.173386952
38,4,0.24725648,0.200916825,0.171552428
38,5,0.148026983,0.185256529,0.228439133
38,6,0.121589593,0.19379019,0.187492133
38,7,0.17133003,0.140171798,0.141314516
38,8,0.172887206,0.18634144,0.226043519
39,1,0.198415914,0.205062798,0.197999495
39,2,0.160716473,0.087502238,0.1565149
39,3,0.175163636,0.285771952,0.263873569
39,4,0.20341666,0.19613975,0.202088078
39,5,0.07632661,0.187111475,0.207254664
39,6,0.113348264,0.242509122,0.177234271
39,7,0.165665161,0.17644712,0.206529756
39,8,0.155722644,0.189389569,0.150152164
40,1,0.138704197,0.132936576,0.111240616
